Position,Stat,Family_Id,Family_Size,Concordance_Point_Estimate_BiasCorrected,Concordance_CI_Lower_BiasCorrected,Concordance_CI_Upper_BiasCorrected,Abs_Effect_Size,Direct_Read_Mean_Rho,Method_Disagreement_Flag,CI_Clears_Boundary_Margin
TE,Team_aDOT,2,2,0.0846638,0.0516638,0.1295638,0.0846638,-0.0376112401681349,1,TRUE
TE,Team_Deep_Attempt_Pct,2,2,0.0846638,0.0630638,0.1083638,0.0846638,-0.110664958409685,1,TRUE
TE,Team_OL_Penalty_Rate,5,1,0.0846638,0.0027638,0.1762638,0.0846638,0.204963469330012,0,FALSE
QB,Team_Avg_Plays_Per_Drive,10,1,0.0842868,0.0148868,0.1518868,0.0842868,0.28682060543515697,0,TRUE
QB,Team_Shotgun_Rate,18,1,-0.0823132,-0.1379132,-0.0324132,0.0823132,-0.0447282421740626,0,FALSE
QB,Team_Sack_Rate_Allowed,3,1,0.0634868,-0.0193132,0.1464868,0.0634868,0.0556673546611627,0,FALSE
TE,Team_TE_Target_Share,12,1,0.0619638,-0.0295362,0.1798638,0.0619638,0.0251810879542581,0,FALSE
QB,Team_Deep_Attempt_Pct,2,2,-0.0615132,-0.1228132,-0.0054132,0.0615132,-0.00280357757137942,0,FALSE
QB,Team_TD_Drive_Rate,1,7,0.0565868,0.0289868,0.0833868,0.0565868,0.0454549363605091,0,TRUE
QB,Team_Three_And_Out_Rate,9,1,-0.0545132,-0.1351132,0.0148868,0.0545132,-0.0661635706914345,0,FALSE
QB,Team_Deep_Completion_Pct,1,7,0.0495868,-0.0141132,0.1003868,0.0495868,-0.0453732370141039,1,FALSE
QB,Team_QB_Hit_Rate_Allowed,4,1,0.0426868,-0.0366132,0.1135868,0.0426868,0.169418644650843,0,FALSE
QB,Team_TE_Target_Share,12,1,-0.0407132,-0.1137132,0.0353868,0.0407132,-0.049436704506364,0,FALSE
TE,Team_CPOE,1,7,-0.0403362,-0.0895362,0.0237638,0.0403362,-0.046791944533743,0,FALSE
TE,Team_WR_Target_Share,13,1,0.0392638,-0.0289362,0.1086638,0.0392638,-0.134878119480641,1,FALSE
QB,Team_EPA_Per_Dropback,1,7,0.0356868,0.0218868,0.0490868,0.0356868,0.0737272101823185,0,TRUE
QB,Team_Weekly_Points_Variance,8,1,0.0356868,-0.0137132,0.0885868,0.0356868,0.15515565875473,0,FALSE
QB,Team_Avg_Starting_Field_Pos,11,1,0.0356868,-0.0214132,0.0927868,0.0356868,0.0699862401100791,0,FALSE
QB,Team_PROE,15,1,-0.0337132,-0.1189132,0.0345868,0.0337132,0.0502622979016168,1,FALSE
WR,Team_Three_And_Out_Rate,1,8,-0.0328624,-0.0595624,-0.0124624,0.0328624,0.00990837240382787,1,FALSE
TE,Team_Leading_Snap_Pct,1,7,-0.0289362,-0.0289362,-0.0289362,0.0289362,0.0388314809964998,1,FALSE
QB,Team_Scoring_Drive_Rate,1,7,0.0287868,-0.0219132,0.0798868,0.0287868,0.161648606811146,0,FALSE
TE,Team_Weekly_EPA_Variance,7,1,0.0278638,-0.0289362,0.092263800000000007,0.0278638,-0.0479312559840181,1,FALSE
QB,Team_WR_Target_Share,13,1,-0.0268132,-0.0893132,0.0287868,0.0268132,0.0538355693154455,1,FALSE
RB,Team_Deep_Completion_Pct,3,1,-0.0255062,-0.0650062,0.0059938,0.0255062,0.101321288436537,1,FALSE
QB,Team_Trailing_Snap_Pct,1,7,0.0217868,-0.0587132,0.0992868,0.0217868,-0.212547299621603,1,FALSE
RB,Team_Weekly_Points_Variance,9,1,0.0205938,-0.0124062,0.0573938,0.0205938,0.128653397474509,0,FALSE
TE,Team_EPA_Per_Dropback,1,7,-0.0175362,-0.0289362,0.0059638,0.0175362,-0.0444093108661962,0,FALSE
TE,Team_Sack_Rate_Allowed,3,1,-0.0175362,-0.0289362,0.0043638,0.0175362,-0.0182889997733051,0,FALSE
TE,Team_Trailing_Snap_Pct,1,7,-0.0175362,-0.0439362,0.0244638,0.0175362,-0.0208925824534299,0,FALSE
TE,Team_PROE,15,1,-0.0175362,-0.0556362,0.0320638,0.0175362,-0.114350691039382,0,FALSE
TE,Team_Shotgun_Rate,18,1,-0.0175362,-0.0289362,0.0033638,0.0175362,0.0469111430310535,1,FALSE
TE,Team_Raw_Plays_PG,16,1,0.0165638,-0.0289362,0.0606638,0.0165638,-0.0586652086034223,1,FALSE
WR,Team_aDOT,2,2,0.0164376,0.0057376,0.0271376,0.0164376,-0.115178389452036,1,TRUE
WR,Team_Scoring_Drive_Rate,1,8,-0.0154624,-0.0308624,-1.624e-4,0.0154624,0.00126390877834842,1,FALSE
RB,Team_RB_Target_Share,13,1,0.0153938,-0.0017062,0.0291938,0.0153938,0.0574023042097906,0,FALSE
RB,Team_EPA_Per_Dropback,1,8,-0.0150062,-0.0412062,0.0060938,0.0150062,0.120630348246748,1,FALSE
QB,Team_Raw_Plays_PG,16,1,0.0148868,-0.1155132,0.1312868,0.0148868,0.149208806329549,0,FALSE
QB,Team_Goal_To_Go_Pass_Rate,19,1,0.0148868,-0.0503132,0.0948868,0.0148868,-0.0355865153078775,1,FALSE
WR,Team_QB_Hit_Rate_Allowed,5,1,0.0145376,0.0038376,0.0258376,0.0145376,-0.0597885952353626,1,FALSE
RB,Team_Goal_To_Go_Pass_Rate,18,1,0.0139938,6.938e-4,0.0272938,0.0139938,-0.00630190842240709,1,FALSE
RB,Team_aDOT,2,2,0.0126938,-0.0163062,0.0380938,0.0126938,-0.0377571323737216,1,FALSE
RB,Team_PROE,14,1,0.0126938,-0.0185062,0.0408938,0.0126938,0.117198823446165,0,FALSE
WR,Team_TD_Drive_Rate,1,8,-0.0125624,-0.0229624,-0.0024624,0.0125624,-0.0142558674387201,0,FALSE
WR,Team_Deep_Completion_Pct,3,1,-0.0115624,-0.0232624,-9.624e-4,0.0115624,0.0448268724731362,1,FALSE
WR,Team_Trailing_Snap_Pct,1,8,-0.0115624,-0.0307624,0.0098376,0.0115624,-0.0103075252987327,0,FALSE
WR,Team_RB_Target_Share,13,1,0.0106376,-0.0068624,0.0282376,0.0106376,0.114416846591384,0,FALSE
RB,Team_WR_Target_Share,12,1,0.0100938,-5.062e-4,0.0203938,0.0100938,-0.0184746159276587,1,FALSE
RB,Team_4th_Down_Aggressiveness,7,1,-0.0097062,-0.0348062,0.0111938,0.0097062,-0.0263883286928485,0,FALSE
WR,Team_Deep_Attempt_Pct,2,2,0.0096376,0.0038376,0.0154376,0.0096376,-0.0633509457131006,1,FALSE
QB,Team_OL_Penalty_Rate,5,1,0.0079868,-0.0381132,0.0418868,0.0079868,0.0197626418988648,0,FALSE
QB,Team_Weekly_EPA_Variance,7,1,0.0079868,-0.0576132,0.0732868,0.0079868,-0.0826840385276918,1,FALSE
QB,Team_RB_Target_Share,14,1,0.0079868,-0.0198132,0.0365868,0.0079868,-0.0625644994840041,1,FALSE
RB,Team_Weekly_EPA_Variance,8,1,-0.0071062,-0.0293062,0.0110938,0.0071062,-0.00647598074668214,0,FALSE
RB,Team_Scoring_Drive_Rate,1,8,-0.0071062,-0.0302062,0.0176938,0.0071062,0.10197004174657,1,FALSE
WR,Team_PROE,14,1,-0.0067624,-0.0117624,-0.0012624,0.0067624,0.0492934803166028,1,FALSE
WR,Team_Sack_Rate_Allowed,4,1,0.0067376,0.0028376,0.0107376,0.0067376,-0.04728360068924,1,FALSE
WR,Team_WR_Target_Share,12,1,0.0067376,-0.0022624,0.0156376,0.0067376,-0.0627177102973782,1,FALSE
TE,Team_QB_Hit_Rate_Allowed,4,1,-0.0062362,-0.0289362,0.0266638,0.0062362,-0.0312028981402181,0,FALSE
TE,Team_Three_And_Out_Rate,9,1,-0.0062362,-0.0379362,0.0377638,0.0062362,0.0905892401650804,1,FALSE
