Position,Stat,Significance_Window,RMSE_Point_Estimate,RMSE_CI_Lower,RMSE_CI_Upper,Concordance_Point_Estimate,Concordance_CI_Lower,Concordance_CI_Upper,N_Seasons,Breakout_AUC_B,Breakout_AUC_P,Bust_AUC_B,Bust_AUC_P,Concordance_Point_Estimate_BiasCorrected,Concordance_CI_Lower_BiasCorrected,Concordance_CI_Upper_BiasCorrected,Family_Id,Family_Size,Predicted_Direction,Contradicts_Prediction,Breakout_AUC_Q,Bust_AUC_Q,CI_Margin_From_Zero_BiasCorrected,Excludes_Zero_BiasCorrected,Boundary_Noise
QB,Rush_Att_PG,12,NA,NA,NA,0.0656,0.0079,0.1185,12,0.577,0.0190588916017305,0.548,1,0.0556028,-0.0020972,0.1085028,1,8,NA,FALSE,0.3240011572294185,1,0.0020972,FALSE,FALSE
QB,Rush_Yards_PG,12,NA,NA,NA,0.0618,0.0255,0.0981,12,0.567,0.181882081166664,0.544,1,0.0518028,0.0155028,0.0881028,1,8,NA,FALSE,0.47247280646924633,1,0.0155028,TRUE,FALSE
QB,Rush_Yards,12,NA,NA,NA,0.0695,0.0322,0.1008,12,0.575,0.0993507203283202,0.55,0.9697265625,0.0595028,0.0222028,0.0908028,1,8,NA,FALSE,0.4230205829326923,1,0.0222028,TRUE,FALSE
QB,RZ_Rush_Att_PG,12,NA,NA,NA,0.112,0.0477,0.1781,12,0.604,0.00683593750000001,0.578,0.755657737671463,0.1020028,0.0377028,0.1681028,1,8,NA,FALSE,0.19368489583333362,1,0.0377028,TRUE,FALSE
QB,Rush_Yards_Per_Att,12,NA,NA,NA,0.0347,-0.0038,0.0757,12,0.551,0.38037109375,0.545,0.823926946328386,0.0247028,-0.0137972,0.0657028,1,8,NA,FALSE,0.5878462357954545,1,0.0137972,FALSE,FALSE
QB,Pass_Yards_PG,12,NA,NA,NA,0.0425,-0.004,0.0887,12,0.535,0.414823067184775,0.548,0.906257585986684,0.0325028,-0.0139972,0.0787028,2,5,NA,FALSE,0.6004231770833334,1,0.0139972,FALSE,FALSE
QB,Dropbacks_PG,12,NA,NA,NA,0,-0.0739,0.0779,12,0.476,0.414823067184775,0.526,0.2886582657415,-0.0099972,-0.0838972,0.0679028,2,5,NA,FALSE,0.6004231770833334,0.72164566435375,0.0679028,FALSE,FALSE
QB,Sack_Rate,12,NA,NA,NA,0.0579,0.0262,0.0833,12,0.485,0.0519129649350183,0.544,0.721103096761767,0.0479028,0.0162028,0.0733028,3,1,NA,FALSE,0.4230205829326923,1,0.0162028,TRUE,FALSE
QB,Rush_EPA,12,NA,NA,NA,0.0849,0.0357,0.1298,12,0.555,0.1513671875,0.563,0.683286329657167,0.0749028,0.0257028,0.1198028,1,8,NA,FALSE,0.43761366668737506,1,0.0257028,TRUE,FALSE
QB,RZ_Pass_Att_PG,12,NA,NA,NA,0.0541,-0.0037,0.1179,12,0.492,0.838463781922464,0.504,0.0800579199844347,0.0441028,-0.0136972,0.1079028,2,5,NA,FALSE,0.8908677682926179,0.4253076999173094,0.0136972,FALSE,FALSE
QB,Completion_Pct,12,NA,NA,NA,0.0463,-0.0303,0.1192,12,0.547,0.146552245688521,0.514,0.553616991965781,0.0363028,-0.0402972,0.1092028,4,1,NA,FALSE,0.43761366668737506,0.9832669374001027,0.0402972,FALSE,FALSE
QB,Dropback_Success_Rate,12,NA,NA,NA,0.0425,-0.0038,0.0849,12,0.469,0.0440109840129515,0.556,0.838463781922464,0.0325028,-0.0137972,0.0749028,5,3,NA,FALSE,0.41565929345565306,1,0.0137972,FALSE,FALSE
QB,Dropbacks,12,NA,NA,NA,-0.0077,-0.0621,0.0443,12,0.5,0.624834867127387,0.538,0.414519852980294,-0.0176972,-0.0720972,0.0343028,2,5,NA,FALSE,0.7275474480250397,0.8199990862954855,0.0343028,FALSE,FALSE
QB,CPOE,12,NA,NA,NA,0.0232,-0.0568,0.0966,12,0.531,0.721103096761767,0.537,0.844460196292316,0.0132028,-0.0667972,0.0866028,6,1,NA,FALSE,0.8172501763300025,1,0.0667972,FALSE,FALSE
QB,Dropback_EPA,12,NA,NA,NA,0.0656,0.0115,0.1163,12,0.475,0.0759269629825577,0.565,0.4697265625,0.0556028,0.0015028,0.1063028,5,3,NA,FALSE,0.4230205829326923,0.9074263139204546,0.0015028,TRUE,TRUE
QB,EPA_Per_Play,12,NA,NA,NA,0.0463,0.0037,0.0868,12,0.472,0.0998329739346746,0.538,1,0.0363028,-0.0062972,0.0768028,5,3,NA,FALSE,0.4230205829326923,1,0.0062972,FALSE,FALSE
QB,Rush_Success_Rate,12,NA,NA,NA,0.0463,-0.0165,0.1083,12,0.605,0.2333984375,0.588,0.26611328125,0.0363028,-0.0264972,0.0983028,7,1,NA,FALSE,0.5361855996621622,0.6854433001893939,0.0264972,FALSE,FALSE
QB,aDOT,12,NA,NA,NA,0.0154,-0.0494,0.0735,12,0.486,0.119722411520657,0.513,0.0248385017048833,0.0054028,-0.0593972,0.0635028,8,1,NA,FALSE,0.4230205829326923,0.19265988420394214,0.0593972,FALSE,FALSE
QB,Pass_First_Downs_PG,12,NA,NA,NA,0.0154,-0.0415,0.0726,12,0.501,1,0.544,0.90966796875,0.0054028,-0.0514972,0.0626028,2,5,NA,FALSE,1,1,0.0514972,FALSE,FALSE
QB,Designed_Rush_Att_PG,12,NA,NA,NA,0.0656,-0.0147,0.1348,12,0.563,0.0559296803251122,0.575,0.5693359375,0.0556028,-0.0246972,0.1248028,1,8,NA,FALSE,0.4230205829326923,0.9832669374001027,0.0246972,FALSE,FALSE
QB,Scramble_Att_PG,12,NA,NA,NA,0.0232,-0.024,0.07,12,0.549,0.350528908982333,0.504,0.00915168885265007,0.0132028,-0.0339972,0.0600028,1,8,NA,FALSE,0.5878462357954545,0.11265345982142869,0.0339972,FALSE,FALSE
