Stat,Family,R_Continuity,N_Continuity,R_Change,N_Change,Persistence_Drop
Team_Shotgun_Rate,scheme,0.72,316,0.236,100,0.484
Team_TD_Drive_Rate,other,0.422,316,0.044,100,0.378
Team_PROE,scheme,0.519,316,0.152,100,0.366
Team_Leading_Snap_Pct,other,0.382,316,0.026,100,0.356
Team_Goal_To_Go_Pass_Rate,scheme,0.399,316,0.088,100,0.311
Team_Goal_To_Go_Run_Rate,scheme,0.399,316,0.088,100,0.311
Team_Scoring_Drive_Rate,other,0.427,316,0.127,100,0.3
Team_Trailing_Snap_Pct,other,0.404,316,0.121,100,0.283
Team_EPA_Per_Dropback,roster,0.414,316,0.158,100,0.257
Team_RZ_Trip_Rate,other,0.367,316,0.113,100,0.254
Team_QB_Hit_Rate_Allowed,roster,0.555,316,0.309,100,0.247
Team_aDOT,other,0.498,316,0.328,100,0.17
Team_4th_Down_Aggressiveness,scheme,0.625,316,0.466,100,0.159
Team_Deep_Completion_Pct,other,0.267,316,0.115,100,0.152
Team_RB_Target_Share,roster,0.498,316,0.346,100,0.152
Team_CPOE,roster,0.438,316,0.293,100,0.145
Team_TE_Target_Share,roster,0.528,316,0.393,100,0.135
Team_Sack_Rate_Allowed,roster,0.393,316,0.262,100,0.131
Team_Raw_Plays_PG,scheme,0.368,316,0.24,100,0.127
Team_OL_Penalty_Rate,roster,0.168,316,0.063,100,0.104
Team_Three_And_Out_Rate,other,0.3,316,0.22,100,0.08
Team_Avg_Plays_Per_Drive,other,0.44,316,0.366,100,0.075
Team_Deep_Attempt_Pct,other,0.294,316,0.249,100,0.045
Team_Rush_Stuff_Rate,roster,0.343,316,0.314,100,0.03
Team_WR_Target_Share,roster,0.47,316,0.445,100,0.025
Team_Weekly_EPA_Variance,other,-0.054,316,-0.062,100,0.008
Team_Avg_Starting_Field_Pos,other,0.137,316,0.149,100,-0.012
Team_Weekly_Points_Variance,other,0.05,316,0.092,100,-0.042
