Stat,GateR_Correlation,Persistence_Gate_Pass,Best_R,Best_Correlation,Flat_Avg_Correlation,N_Target_Years,N_Pairs
Team_4th_Down_Aggressiveness,0.628,TRUE,0.5,0.628,0.593,13,416
Team_Shotgun_Rate,0.607,TRUE,0.2,0.626,0.539,13,416
Team_QB_Hit_Rate_Allowed,0.516,TRUE,0.3,0.522,0.461,13,416
Team_Avg_Plays_Per_Drive,0.481,TRUE,0.6,0.481,0.462,13,416
Team_TE_Target_Share,0.477,TRUE,0.1,0.497,0.395,13,416
Team_WR_Target_Share,0.475,TRUE,0.3,0.48,0.419,13,416
Team_aDOT,0.471,TRUE,0.3,0.476,0.419,13,416
Team_RB_Target_Share,0.471,TRUE,0.3,0.481,0.404,13,416
Team_PROE,0.466,TRUE,0.4,0.468,0.422,13,416
Team_CPOE,0.457,TRUE,0.4,0.458,0.42,13,416
Team_Scoring_Drive_Rate,0.44,TRUE,0.6,0.443,0.432,13,416
Team_TD_Drive_Rate,0.419,TRUE,0.5,0.419,0.391,13,416
Team_EPA_Per_Dropback,0.416,TRUE,0.4,0.417,0.376,13,416
Team_RZ_Trip_Rate,0.405,TRUE,0.7,0.409,0.4,13,416
Team_Trailing_Snap_Pct,0.397,TRUE,0.2,0.412,0.324,13,416
Team_Sack_Rate_Allowed,0.38,TRUE,0.3,0.387,0.327,13,416
Team_Leading_Snap_Pct,0.367,TRUE,0.2,0.378,0.305,13,416
Team_Raw_Plays_PG,0.363,TRUE,0.4,0.364,0.33,13,416
Team_Goal_To_Go_Pass_Rate,0.354,TRUE,0.5,0.354,0.325,13,416
Team_Goal_To_Go_Run_Rate,0.354,TRUE,0.5,0.354,0.325,13,416
Team_Rush_Stuff_Rate,0.349,TRUE,0.3,0.359,0.279,13,416
Team_Three_And_Out_Rate,0.322,TRUE,0.3,0.325,0.282,13,416
Team_Deep_Attempt_Pct,0.296,FALSE,0.4,0.297,0.267,13,416
Team_Deep_Completion_Pct,0.284,FALSE,0.6,0.285,0.266,13,416
Team_OL_Penalty_Rate,0.172,FALSE,0.5,0.172,0.149,13,416
Team_Avg_Starting_Field_Pos,0.099,FALSE,0.1,0.135,0.049,13,416
Team_Weekly_Points_Variance,0.044,FALSE,0.1,0.062,0.022,13,416
Team_Weekly_EPA_Variance,-0.016,FALSE,1,-0.004,-0.004,13,416
