cache_key,position,representative_candidate,null_bias,null_bias_se,n_meta_replicates,meta_sd,n_rows,n_nonNA,computed_date
TESTPOS|candidate_a|2001|2012|0|0.5|4|5|100|12|500|0.9|480|480,TESTPOS,candidate_a,4.532e-4,1.6230847174439168e-4,5,3.629327761445637e-4,480,480,2026-07-12
TESTPOS|candidate_a|2001|2012|0|0.5|4|2|10|12|50|0.9|480|480,TESTPOS,candidate_a,0.002275,0.001295,2,0.00183140656327315,480,480,2026-07-12
TESTPOS_secondary|candidate_b|2001|2012|0|0.5|4|2|10|12|50|0.9|480|480,TESTPOS_secondary,candidate_b,-2.8e-4,7.7e-4,2,0.00108894444302728,480,480,2026-07-12
QB|Rush_Att_PG|2014|2025|8|0.5|4|5|100|12|500|0.9|206|204,QB,Rush_Att_PG,0.0099972,8.723601549818744e-4,5,0.00195065660740172,206,204,2026-07-12
RB|Rush_Yards_PG|2014|2025|8|0.5|4|5|100|12|500|0.9|474|468,RB,Rush_Yards_PG,-0.0092612,1.7207248472664077e-4,5,3.847657729060631e-4,474,468,2026-07-12
RB_secondary|Avg_Time_To_LOS|2014|2025|8|0.5|4|5|100|12|500|0.9|474|314,RB_secondary,Avg_Time_To_LOS,-0.01139879999999999,5.579137388521635e-4,5,0.0012475330456545,474,314,2026-07-12
WR|Target_Share|2014|2025|8|0.5|4|5|100|12|500|0.9|576|573,WR,Target_Share,-0.0032956,3.195688658176826e-4,5,7.145777074608472e-4,576,573,2026-07-12
WR_secondary|Avg_Separation|2014|2025|8|0.5|4|5|100|12|500|0.9|576|430,WR_secondary,Avg_Separation,-0.0038892,2.7884644519878666e-4,5,6.235196067486569e-4,576,430,2026-07-12
TE|Target_Share|2014|2025|8|0.5|4|5|100|12|500|0.9|175|175,TE,Target_Share,0.0038308,6.061448176797356e-4,5,0.0013553810165411,175,175,2026-07-12
TE_secondary|Avg_Separation|2014|2025|8|0.5|4|5|100|12|500|0.9|175|123,TE_secondary,Avg_Separation,5.065999999999998e-4,0.00229004084243054,5,0.00512068699492558,175,123,2026-07-12
QB|Rush_Att_PG|2014|2025|8|0.5|4|5|100|12|500|0.9|206|204|permute|RANK+Prior_PPG,QB,Rush_Att_PG,0.0102006,0.00144003640926193,5,0.00322001930118438,206,204,2026-07-12
RB|Rush_Yards_PG|2014|2025|8|0.5|4|5|100|12|500|0.9|474|468|permute|RANK+Prior_PPG,RB,Rush_Yards_PG,-0.0093252,2.993755835067383e-4,5,6.694241555247318e-4,474,468,2026-07-12
RB_secondary|Avg_Time_To_LOS|2014|2025|8|0.5|4|5|100|12|500|0.9|474|314|permute|RANK+Prior_PPG,RB_secondary,Avg_Time_To_LOS,-0.01113739999999999,5.619623296983528e-4,5,0.00125658596999966,474,314,2026-07-12
WR|Target_Share|2014|2025|8|0.5|4|5|100|12|500|0.9|576|573|permute|RANK+Prior_PPG,WR,Target_Share,-0.0032248,2.1143731931709683e-4,5,4.72788218973358e-4,576,573,2026-07-13
WR_secondary|Avg_Separation|2014|2025|8|0.5|4|5|100|12|500|0.9|576|430|permute|RANK+Prior_PPG,WR_secondary,Avg_Separation,-0.0040358,4.595152228163938e-4,5,0.00102750727491341,576,430,2026-07-13
TE|Target_Share|2014|2025|8|0.5|4|5|100|12|500|0.9|175|175|permute|RANK+Prior_PPG,TE,Target_Share,0.0060634,0.00116884659386935,5,0.00261362043916097,175,175,2026-07-13
TE_secondary|Avg_Separation|2014|2025|8|0.5|4|5|100|12|500|0.9|175|123|permute|RANK+Prior_PPG,TE_secondary,Avg_Separation,0.00151579999999999,0.00176788467949694,5,0.00395311031973558,175,123,2026-07-13
QB_teamctx|Team_Sack_Rate_Allowed|2014|2025|8|0.5|4|5|100|12|500|0.9|206|206|permute|RANK+Prior_PPG|team,QB_teamctx,Team_Sack_Rate_Allowed,0.004445,0.00166553141669558,5,0.00372424146639285,206,206,2026-07-13
RB_teamctx|Team_Rush_Stuff_Rate|2014|2025|8|0.5|4|5|100|12|500|0.9|474|474|permute|RANK+Prior_PPG|team,RB_teamctx,Team_Rush_Stuff_Rate,-0.0076854,1.8696807214067316e-4,5,4.180733189286298e-4,474,474,2026-07-13
WR_teamctx|Team_Sack_Rate_Allowed|2014|2025|8|0.5|4|5|100|12|500|0.9|576|576|permute|RANK+Prior_PPG|team,WR_teamctx,Team_Sack_Rate_Allowed,-0.0043616,1.947841369311167e-4,5,4.3555057111660425e-4,576,576,2026-07-13
TE_teamctx|Team_Sack_Rate_Allowed|2014|2025|8|0.5|4|5|100|12|500|0.9|175|175|permute|RANK+Prior_PPG|team,TE_teamctx,Team_Sack_Rate_Allowed,0.0040748,6.340479792570906e-4,5,0.00141777438261523,175,175,2026-07-13
QB_teamctx_exploratory|Team_Sack_Rate_Allowed|2014|2019|8|0.5|4|5|100|12|500|0.9|107|107|permute|RANK+Prior_PPG|team,QB_teamctx_exploratory,Team_Sack_Rate_Allowed,-0.0148868,0.00265911973028669,5,0.00594597247723196,107,107,2026-07-14
RB_teamctx_exploratory|Team_Rush_Stuff_Rate|2014|2019|8|0.5|4|5|100|12|500|0.9|248|248|permute|RANK+Prior_PPG|team,RB_teamctx_exploratory,Team_Rush_Stuff_Rate,-0.0047938,2.848547700144761e-4,5,6.369546294674373e-4,248,248,2026-07-14
WR_teamctx_exploratory|Team_Sack_Rate_Allowed|2014|2019|8|0.5|4|5|100|12|500|0.9|282|282|permute|RANK+Prior_PPG|team,WR_teamctx_exploratory,Team_Sack_Rate_Allowed,-0.0048376,3.740328327834336e-4,5,8.363628399205694e-4,282,282,2026-07-14
TE_teamctx_exploratory|Team_Sack_Rate_Allowed|2014|2019|8|0.5|4|5|100|12|500|0.9|89|89|permute|RANK+Prior_PPG|team,TE_teamctx_exploratory,Team_Sack_Rate_Allowed,0.0289362,8.154362881304708e-4,5,0.0018233709715798376,89,89,2026-07-14
